"24.12.2021","2,586","2,683","2,683","2,556","147,33M","-3,54%"
"23.12.2021","2,681","2,501","2,734","2,471","225,05M","7,24%"
"22.12.2021","2,500","2,370","2,647","2,370","215,60M","5,35%"
"21.12.2021","2,373","2,131","2,403","2,109","148,50M","11,57%"
"20.12.2021","2,127","2,220","2,247","2,048","123,17M","-4,28%"
"19.12.2021","2,222","2,232","2,290","2,166","104,63M","-0,40%"
"18.12.2021","2,231","2,135","2,256","2,056","123,30M","4,79%"
"17.12.2021","2,129","2,072","2,157","1,938","149,99M","2,90%"
"16.12.2021","2,069","2,130","2,205","2,064","160,54M","-2,73%"
"15.12.2021","2,127","1,941","2,223","1,833","258,17M","9,58%"
"14.12.2021","1,941","1,817","1,947","1,739","162,23M","6,77%"
"13.12.2021","1,818","2,084","2,094","1,751","207,43M","-12,93%"
"12.12.2021","2,088","2,139","2,140","2,031","95,19M","-2,11%"
"11.12.2021","2,133","2,092","2,165","2,016","165,29M","2,01%"
"10.12.2021","2,091","2,090","2,288","2,046","337,26M","0,24%"
"09.12.2021","2,086","2,419","2,439","2,063","332,42M","-13,69%"
"08.12.2021","2,417","2,349","2,575","2,227","392,86M","3,03%"
"07.12.2021","2,346","2,289","2,514","2,237","441,17M","2,99%"
"06.12.2021","2,278","2,044","2,316","1,714","420,60M","11,07%"
"05.12.2021","2,051","1,976","2,198","1,883","310,62M","3,43%"
"04.12.2021","1,983","2,269","2,315","1,580","482,64M","-12,60%"
"03.12.2021","2,269","2,123","2,393","2,080","403,31M","6,68%"
"02.12.2021","2,127","2,006","2,202","1,951","337,94M","6,03%"
"01.12.2021","2,006","1,786","2,093","1,774","236,48M","12,38%"
"30.11.2021","1,785","1,817","1,875","1,696","125,05M","-1,76%"
"29.11.2021","1,817","1,653","1,831","1,629","84,56M","9,99%"
"28.11.2021","1,652","1,612","1,665","1,501","75,45M","2,42%"
"27.11.2021","1,613","1,639","1,724","1,587","56,99M","-1,29%"
"26.11.2021","1,634","1,926","1,965","1,594","179,43M","-15,12%"
"25.11.2021","1,925","1,684","1,933","1,670","151,61M","14,04%"
"24.11.2021","1,688","1,752","1,830","1,654","128,95M","-3,60%"
